Urutan,Name,Binding Energy
1,Withangulatin A,-12.03
2,Withanolide,-11.27
3,Violaxanthin,-11.12
4,(+)-Thalrugosine,-11.01
5,Orthosiphonone A,-10.96
6,Panduratin B,-10.8
7,Leucadenone B,-10.64
8,Proanthocyanidin A1,-10.5
9,"(3beta)-28-Norlup-20(29)-ene-3,17-diol 3-acetate",-10.47
10,Leucadenone D,-10.45
11,beta-Sitosterol 3-O-beta-D-glucopyranoside,-10.42
12,Isochondodendrine,-10.42
13,Homoaromoline,-10.28
14,Nimolicinol,-10.24
15,6-Deoxoteasterone,-10.23
16,Sapogenin,-10.23
17,Cathasterone,-10.12
18,Tetrandrine,-10.06
19,Camelliaside B,-10.03
20,Mutatoxanthin,-9.98
21,Jacoumaric acid,-9.93
22,Myricetin 3-(2G-rhamnosylrutinoside),-9.83
23,Neriifolin,-9.82
24,Heterophyllin,-9.69
25,ent-Epiafzelechin-(4alpha-8)-epicatechin,-9.63
26,Limacine,-9.63
27,Roxburghine B,-9.62
28,Orthosiphol B,-9.6
29,Mangostenone A,-9.6
30,(-)-2-Norlimacine,-9.59
31,"Capsanthin 5,6-epoxide",-9.58
32,Methyl angolensate,-9.58
33,Cyclomorusin,-9.57
34,2''-O-alpha-L-Rhamnosyl-6-C-fucosyl-luteolin,-9.56
35,Azadiradione,-9.56
36,Methyl pheophorbide a,-9.54
37,"12-O-2Z,4E-Octadienoyl-4-deoxyphorbol 13-acetate",-9.5
38,Bruceoside_A,-9.49
39,Guavacoumaric acid,-9.48
40,Cinchonain Ib,-9.44
41,Typhasterol,-9.43
42,Momordicoside F1,-9.38
43,Teasterone,-9.37
44,Leucadenone A,-9.36
45,Diosgenin,-9.36
46,(-)-Curine,-9.35
47,Leucadenone C,-9.31
48,Dolichosterone,-9.3
49,Guavanoic acid,-9.24
50,Cycloheterophyllin,-9.22
51,(+)-Cycleabarbatine,-9.17
52,Guibourtinidol-(4alpha-8)-epiafzelechin,-9.13
53,Karaviloside I,-9.12
54,Vinblastine,-9.11
55,"5,7,2',4'-Tetrahydroxy-6,3'-diprenylisoflavone 5-O-(4''-rhamnosylrhamnoside)",-9
56,2''-O-alpha-L-Rhamnosyl-6-C-fucosyl-3'-methoxyluteoiin,-8.97
57,Rubranine,-8.97
58,Brassinolide,-8.94
59,Peonidin 3-(4'-arabinosylglucoside),-8.88
60,Eurycolactone E,-8.87
61,ent-Epiafzeiechin-(4alpha-8)-epiafzelechin,-8.83
62,Cassiaoccidentalin B,-8.82
63,Sanggenol O,-8.82
64,Cycloartocarpin A,-8.81
65,(+)-Cycleanorine,-8.81
66,Kaempferol 3-robinobioside,-8.8
67,Bryophyllin A,-8.79
68,2''-O-alpha-L-Rhamnosyl-6-C-quinovopyranosyl-luteolin,-8.76
69,Cucurbitacin C,-8.75
70,Euphorbia factor Ti2,-8.74
71,dl-Fangchinoline,-8.67
72,28-Norcastasterone,-8.66
73,Tetrandrine 2'beta-N-oxide,-8.64
74,BR-Xanthone A,-8.58
75,Orthosiphol A,-8.57
76,Neoorthosiphol A,-8.57
77,Caesaldekarine A,-8.57
78,"6-Hydroxykaempferol 3,6-diglucoside",-8.55
79,Cycleadrine,-8.55
80,Camarinic acid,-8.52
81,Boesenbergin B,-8.49
82,(-)-Repandine,-8.49
83,Meloside A,-8.41
84,Vitexilactone,-8.4
85,Mesuagin,-8.38
86,Scutellarein 7-neohesperidoside,-8.34
87,Isoforskolin,-8.33
88,Pseudoakuammigine,-8.27
89,Cyanidin 4'-glucoside,-8.25
90,Echitamine,-8.21
91,Corilagin,-8.2
92,Dehydrodihydrorotenone,-8.19
93,Isotetrandrine,-8.17
94,Gibberellin A20,-8.1
95,Carthamin,-8.09
96,Cinchonain Ia,-8.08
97,Kaempferol 3-rhamnosyl-(1-3)(4'''-acetylrhamnosyl)(1-6)-glucoside,-8.07
98,"Kaempferol 3-(3'',4''-diacetylrhamnoside)",-8.06
99,Gibberellin A38,-8.05
100,Pongachalcone I,-8.02
101,Quercetin 3-glucosyl-(1-2)-[rhamnosyl-(1-6)-galactoside],-8.01
102,Rotundifuran,-8.01
103,Sojagol,-8.01
104,Arborside A,-8
105,(-)-Blumealactone B,-8
106,1-Isomangostin,-8
107,Saponarin,-7.99
108,Boesenbergin A,-7.99
109,Coleonol C,-7.98
110,"5,7-Dihydroxy-4'-methoxy-8-C-prenyl-3'-(3-hydroxy-3-methylbutyl)flavanone",-7.98
111,Gibberellin A34,-7.96
112,Achillicin,-7.95
113,Proanthocyanidin A2,-7.92
114,alpha-Tocotrienol,-7.91
115,Hydroxycristacarpone,-7.91
116,Idaein,-7.9
117,Cyanidin 3-laminaribioside,-7.9
118,Tinctormine,-7.87
119,Kaempferol 3-rhamnosyl-(1-3)-rhamnosyl-(1-6)-glucoside,-7.87
120,Carlinoside,-7.86
121,Gambiriin C,-7.86
122,Rhamnetin 3-rhamnosyl-(1-4)-rhamnoside,-7.82
123,(-)-Blumealactone A,-7.82
124,Abrussaponin I,-7.79
125,"5,2',3'-Trihydroxy-7,8-dimethoxyflavone 3'-glucoside",-7.76
126,Fuzitine,-7.75
127,Isoscoparin 2''-(6-(E)-p-coumaroylglucoside),-7.73
128,Arborside B,-7.73
129,"Cyanidin 3,4'-diglucoside",-7.7
130,Gibberellin A3,-7.7
131,Empetrin,-7.69
132,Epicatechin-(4beta-8)-ent-epicatechin,-7.68
133,Jasmolactone B,-7.68
134,Artonin K,-7.68
135,Clitorin,-7.67
136,Tetrandrine N-2'-oxide,-7.65
137,Gibberellin A15,-7.65
138,Artonin L,-7.64
139,Peonidin 3-arabinoside,-7.61
140,4-O-Methylsappanol,-7.59
141,Precatorin II,-7.58
142,Paniculonol isovalerate,-7.57
143,Gibberellin A44,-7.56
144,12a-Hydroxyrotenone,-7.55
145,Heliettin,-7.54
146,Kaempferol 3-(6''-acetylglucosyl)-(1-3)-galactoside,-7.53
147,Camelliaside A,-7.52
148,Samarangenin A,-7.47
149,Orientanol A,-7.46
150,gamma-Tocopherol,-7.46
151,Boeravinone C,-7.45
152,Gibberellin A77,-7.45
153,Strigol,-7.44
154,Petunidin 3-glucoside,-7.43
155,Tauremizin,-7.43
156,Gibberellin A29,-7.41
157,(-)-Blumealactone C,-7.37
158,Gibberellin A9,-7.36
159,Cyanidin 3-[6-(6-p-coumarylglucosyl)-2-xylosylgalactoside],-7.35
160,"Scutellarein 6,4'-dimethyl ether 7-(6''-acetylglucoside)",-7.35
161,Epicatechin-(4beta-8)-epiafzelechin,-7.34
162,alpha-Tocopherol,-7.33
163,Gibberellin A55,-7.33
164,Gibberellin A5,-7.33
165,(-)-N-Methylcoclaurine,-7.3
166,Delphinidin 3-O-beta-D-(6-O-(E)-p-coumaryl)galactopyranoside,-7.28
167,delta-Tocopherol,-7.28
168,Gibberellin A98,-7.28
169,Nicotiflorin,-7.27
170,Loganin,-7.26
171,Rutacridone,-7.26
172,Xanthyletin,-7.26
173,Guanosine,-7.25
174,Gibberellin A1,-7.23
175,Xanthoplanine,-7.22
176,Jasmolactone A,-7.21
177,Hesperidine,-7.2
178,Mirabijalone A,-7.2
179,Gibberellin A51,-7.2
180,"Galangin 3,7-dimethyl ether",-7.18
181,Arbortristoside D,-7.16
182,Palmarumycin CP1,-7.15
183,Isovitexin 2''-O-(6'''-(E)-p-coumaroyl)glucoside,-7.14
184,Candidol,-7.14
185,(-)-Cycleapeltine,-7.13
186,Plantamajoside,-7.12
187,Kaempferol 3-glucosyl-(1-3)-rhamnosyl-(1-6)-galactoside,-7.1
188,"7,4'-Dihydroxyflavone",-7.1
189,Gibberellin A35,-7.1
190,[Epiafzelechin-(4beta-8)]2-epiafzelechin,-7.09
191,Malvidin,-7.09
192,6-Methoxypulcherrimin,-7.08
193,Isovitexin 2''-O-(6'''-feruloyl)glucoside,-7.05
194,Gibberellin A8,-7.05
195,Asperuloside,-7.04
196,Quercetin 3-rhamnosyl-(1-2)-alpha-L-arabinopyranoside,-7.03
197,Kaempferol 3-(3Rha-glucosylrutinoside),-7.02
198,Cyanin,-7.02
199,(+)-Marmesin,-7.02
200,beta-Tocopherol,-7.01
201,Allamandicin,-7.01
202,Arborside C,-7
203,Cyanidin 3-arabinoside,-6.96
204,Arbortristoside E,-6.96
205,Cyanidin 3-O-glucoside,-6.95
206,Cyanidin 3-arabinoside,-6.92
207,Gibberellin A4,-6.91
208,Marmin,-6.9
209,Vicenin 2,-6.89
210,Peonidin 3-(6'-malonylglucoside)-5-glucoside,-6.89
211,Allamdin,-6.88
212,Safflor yellow A,-6.87
213,Melampyroside,-6.86
214,Paederoside,-6.85
215,Nirurin,-6.83
216,Gibberellin A7,-6.83
217,Zerumbone epoxide,-6.83
218,Pulcherrimin,-6.79
219,Paniculide A,-6.78
220,Acetylbarlerin,-6.77
221,Mirabijalone D,-6.75
222,Euphorbianin,-6.73
223,Xanthoxyletin,-6.73
224,5-Methoxyseselin,-6.73
225,"Quercetin 5,7,3',4'-tetramethyl ether",-6.71
226,Kaempferol 3-neohesperidoside,-6.69
227,"[1S-(1alpha,4aalpha,7aalpha)]-7-[(acetyloxy)methyl]-1-(beta-D-glucopyranosyloxy)-1,4a,5,7a-tetrahydrocyclopenta[c]pyran-4-carboxylic acid",-6.69
